,Unnamed: 0,year_2020,county_fips,totalvotes_2020,party_2020,county_name_2020,state_2020,state_po_2020,candidatevotes_2020,voteShare_2020,year_2016,totalvotes_2016,party_2016,county_name_2016,state_2016,state_po_2016,candidatevotes_2016,voteShare_2016,DELTA,CLUSTER
0,0,2020,4001.0,35172,DEMOCRAT,APACHE,ARIZONA,AZ,23293,0.6622597520755146,2016,27661,DEMOCRAT,APACHE,ARIZONA,AZ,17083,0.6175843245001988,4.467542757531573,6
1,1,2020,4003.0,60442,DEMOCRAT,COCHISE,ARIZONA,AZ,23732,0.3926408788590715,2016,50015,DEMOCRAT,COCHISE,ARIZONA,AZ,17450,0.3488953314005798,4.374554745849169,6
2,2,2020,4005.0,73272,DEMOCRAT,COCONINO,ARIZONA,AZ,44698,0.6100283873785348,2016,59784,DEMOCRAT,COCONINO,ARIZONA,AZ,32404,0.5420179312190553,6.801045615947954,10
3,3,2020,4007.0,27662,DEMOCRAT,GILA,ARIZONA,AZ,8943,0.3232954956257682,2016,22312,DEMOCRAT,GILA,ARIZONA,AZ,7003,0.3138669774112585,0.9428518214509684,4
4,4,2020,4009.0,14995,DEMOCRAT,GRAHAM,ARIZONA,AZ,4034,0.2690230076692231,2016,12134,DEMOCRAT,GRAHAM,ARIZONA,AZ,3301,0.2720454920059337,-0.3022484336710651,7
5,5,2020,4011.0,3685,DEMOCRAT,GREENLEE,ARIZONA,AZ,1182,0.3207598371777476,2016,3270,DEMOCRAT,GREENLEE,ARIZONA,AZ,1092,0.3339449541284404,-1.3185116950692743,9
6,6,2020,4012.0,7458,DEMOCRAT,LA PAZ,ARIZONA,AZ,2236,0.2998122821131671,2016,5951,DEMOCRAT,LA PAZ,ARIZONA,AZ,1575,0.2646614014451353,3.5150880668031794,3
7,7,2020,4013.0,2068144,DEMOCRAT,MARICOPA,ARIZONA,AZ,1040774,0.5032405867289705,2016,1567834,DEMOCRAT,MARICOPA,ARIZONA,AZ,702907,0.4483299890166943,5.491059771227619,8
8,8,2020,4015.0,104668,DEMOCRAT,MOHAVE,ARIZONA,AZ,24831,0.2372358313906829,2016,79943,DEMOCRAT,MOHAVE,ARIZONA,AZ,17455,0.2183430694369738,1.8892761953709063,0
9,9,2020,4017.0,51767,DEMOCRAT,NAVAJO,ARIZONA,AZ,23383,0.4516970270635733,2016,40294,DEMOCRAT,NAVAJO,ARIZONA,AZ,16459,0.4084727254678116,4.322430159576173,6
10,10,2020,4019.0,520397,DEMOCRAT,PIMA,ARIZONA,AZ,304981,0.5860544930120658,2016,421640,DEMOCRAT,PIMA,ARIZONA,AZ,224661,0.5328265819182241,5.322791109384173,8
11,11,2020,4021.0,184974,DEMOCRAT,PINAL,ARIZONA,AZ,75106,0.4060354428189908,2016,129546,DEMOCRAT,PINAL,ARIZONA,AZ,47892,0.3696910749849474,3.634436783404338,3
12,12,2020,4023.0,19556,DEMOCRAT,SANTA CRUZ,ARIZONA,AZ,13138,0.6718142769482511,2016,16433,DEMOCRAT,SANTA CRUZ,ARIZONA,AZ,11690,0.7113734558510315,-3.955917890278038,14
13,13,2020,4025.0,143221,DEMOCRAT,YAVAPAI,ARIZONA,AZ,49602,0.3463318926693711,2016,114450,DEMOCRAT,YAVAPAI,ARIZONA,AZ,35590,0.3109654871122761,3.5366405557094973,3
14,14,2020,4027.0,69881,DEMOCRAT,YUMA,ARIZONA,AZ,32210,0.4609264320773887,2016,53010,DEMOCRAT,YUMA,ARIZONA,AZ,24605,0.4641577060931899,-0.3231274015801255,7
15,15,2020,13001.0,8341,DEMOCRAT,APPLING,GEORGIA,GA,1779,0.2132837789233904,2016,7012,DEMOCRAT,APPLING,GEORGIA,GA,1434,0.2045065601825442,0.8777218740846277,4
16,16,2020,13003.0,3155,DEMOCRAT,ATKINSON,GEORGIA,GA,825,0.2614896988906497,2016,2610,DEMOCRAT,ATKINSON,GEORGIA,GA,697,0.2670498084291188,-0.5560109538469027,7
17,17,2020,13005.0,4668,DEMOCRAT,BACON,GEORGIA,GA,625,0.1338903170522707,2016,4020,DEMOCRAT,BACON,GEORGIA,GA,608,0.1512437810945273,-1.7353464042256572,9
18,18,2020,13007.0,1555,DEMOCRAT,BAKER,GEORGIA,GA,652,0.4192926045016077,2016,1440,DEMOCRAT,BAKER,GEORGIA,GA,650,0.4513888888888889,-3.209628438728118,16
19,19,2020,13009.0,18251,DEMOCRAT,BALDWIN,GEORGIA,GA,9140,0.500794477014958,2016,16116,DEMOCRAT,BALDWIN,GEORGIA,GA,7970,0.4945395879870936,0.6254889027864474,4
20,20,2020,13011.0,8801,DEMOCRAT,BANKS,GEORGIA,GA,932,0.1058970571525963,2016,6975,DEMOCRAT,BANKS,GEORGIA,GA,684,0.0980645161290322,0.7832541023564038,4
21,21,2020,13013.0,37921,DEMOCRAT,BARROW,GEORGIA,GA,10453,0.2756520133962712,2016,29060,DEMOCRAT,BARROW,GEORGIA,GA,6580,0.2264280798348245,4.922393356144672,8
22,22,2020,13015.0,50467,DEMOCRAT,BARTOW,GEORGIA,GA,12092,0.2396021162343709,2016,39550,DEMOCRAT,BARTOW,GEORGIA,GA,8212,0.2076359039190897,3.196621231528121,3
23,23,2020,13017.0,6560,DEMOCRAT,BEN HILL,GEORGIA,GA,2392,0.3646341463414634,2016,5936,DEMOCRAT,BEN HILL,GEORGIA,GA,2101,0.3539420485175202,1.0692097823943203,4
24,24,2020,13019.0,7743,DEMOCRAT,BERRIEN,GEORGIA,GA,1269,0.1638899651297946,2016,6590,DEMOCRAT,BERRIEN,GEORGIA,GA,1047,0.1588770864946889,0.5012878635105716,4
25,25,2020,13021.0,70802,DEMOCRAT,BIBB,GEORGIA,GA,43468,0.6139374593938024,2016,62596,DEMOCRAT,BIBB,GEORGIA,GA,36787,0.5876893092210365,2.624815017276594,2
26,26,2020,13023.0,5706,DEMOCRAT,BLECKLEY,GEORGIA,GA,1311,0.2297581493165089,2016,4974,DEMOCRAT,BLECKLEY,GEORGIA,GA,1101,0.2213510253317249,0.8407123984783965,4
27,27,2020,13025.0,7746,DEMOCRAT,BRANTLEY,GEORGIA,GA,699,0.0902401239349341,2016,6301,DEMOCRAT,BRANTLEY,GEORGIA,GA,619,0.0982383748611331,-0.7998250926198991,7
28,28,2020,13027.0,7100,DEMOCRAT,BROOKS,GEORGIA,GA,2790,0.3929577464788732,2016,6336,DEMOCRAT,BROOKS,GEORGIA,GA,2528,0.398989898989899,-0.603215251102579,7
29,29,2020,13029.0,21340,DEMOCRAT,BRYAN,GEORGIA,GA,6739,0.3157919400187441,2016,15173,DEMOCRAT,BRYAN,GEORGIA,GA,4014,0.2645488697027615,5.124307031598269,8
30,30,2020,13031.0,30084,DEMOCRAT,BULLOCH,GEORGIA,GA,11243,0.3737202499667597,2016,25316,DEMOCRAT,BULLOCH,GEORGIA,GA,9261,0.3658160846895244,0.7904165277235309,4
31,31,2020,13033.0,10684,DEMOCRAT,BURKE,GEORGIA,GA,5209,0.4875514788468738,2016,9351,DEMOCRAT,BURKE,GEORGIA,GA,4731,0.505935194096888,-1.83837152500142,9
32,32,2020,13035.0,11771,DEMOCRAT,BUTTS,GEORGIA,GA,3274,0.2781411944609633,2016,9514,DEMOCRAT,BUTTS,GEORGIA,GA,2566,0.269707799033004,0.8433395427959345,4
33,33,2020,13037.0,2194,DEMOCRAT,CALHOUN,GEORGIA,GA,1260,0.5742935278030994,2016,2025,DEMOCRAT,CALHOUN,GEORGIA,GA,1179,0.5822222222222222,-0.7928694419122806,7
34,34,2020,13039.0,23688,DEMOCRAT,CAMDEN,GEORGIA,GA,7967,0.3363306315433975,2016,18901,DEMOCRAT,CAMDEN,GEORGIA,GA,5930,0.3137400137558859,2.2590617787511533,1
35,35,2020,13043.0,4431,DEMOCRAT,CANDLER,GEORGIA,GA,1269,0.2863913337846987,2016,3763,DEMOCRAT,CANDLER,GEORGIA,GA,1026,0.2726547967047568,1.373653707994188,0
36,36,2020,13045.0,54474,DEMOCRAT,CARROLL,GEORGIA,GA,16238,0.2980871608473767,2016,44121,DEMOCRAT,CARROLL,GEORGIA,GA,12464,0.2824958636476961,1.559129719968061,0
37,37,2020,13047.0,32593,DEMOCRAT,CATOOSA,GEORGIA,GA,6932,0.21268370509005,2016,26757,DEMOCRAT,CATOOSA,GEORGIA,GA,4771,0.1783084800239189,3.4375225066131057,3
38,38,2020,13049.0,4566,DEMOCRAT,CHARLTON,GEORGIA,GA,1103,0.2415681121331581,2016,4016,DEMOCRAT,CHARLTON,GEORGIA,GA,1004,0.25,-0.8431887866841875,7
39,39,2020,13051.0,133420,DEMOCRAT,CHATHAM,GEORGIA,GA,78254,0.5865237595562884,2016,112142,DEMOCRAT,CHATHAM,GEORGIA,GA,62290,0.5554564748265591,3.1067284729729305,3
40,40,2020,13053.0,1582,DEMOCRAT,CHATTAHOOCHEE,GEORGIA,GA,667,0.4216182048040455,2016,1390,DEMOCRAT,CHATTAHOOCHEE,GEORGIA,GA,594,0.4273381294964029,-0.5719924692357381,7
